icono,titulo,tier,descripcion,materiales,indoor_outdoor
"marcha.png","Irnos de marcha","silver","Coger el tren o el coche hasta Cercedilla. Calzarnos zapatillas de andar, ropa cómoda y snacks y hacer el Camino del Agua. 5 km de ruta muy tranquila.","Ropa de andar, comida, agua y madrugar","outdoor"
"gaming.png","Cita videojuegos","bronze","Pasar una tarde jugando videojuegos en el campo. Con unas mantitas, picnic, mi ordenador y unos mandos. Y jugar al Cuphead o al It Takes Two.","Mantas o mandala, ordenador y mandos, velas o linterna, comidita.","indoor"
"picnic.png","Cita picnic y peli","silver","Hacer un picnic en el Retiro o en el Templo de Debod y luego ver una película en casa o en un cine al aire libre como Fescinal en verano.","Mandala, unas cervezas, la tablet y picoteo.","outdoor"
"massage.png","Masajes","bronze","Sesión de masajes en casa con música relajante y velas. O si nos queremos dar un capricho, ir a Hammam Al Ándalus Madrid.","Una casa o reservar en Hammam, aceite de masaje.","indoor"
"ceramica.png","Pintar cerámica","silver","Ir a un café a pintar tazas. Hay que reservar con antelación, un día por lo menos. Mirar en Mama Pottery Madrid o en Hoy Pinto en Copas.","Reservar con antelación.","indoor"
"gym.png","Clase de prueba","bronze","Buscar una clase gratuita o apuntarnos a un gimnasio con prueba gratis como en Basic-Fit o McFIT.","Ropa de deporte y poca vergüenza.","indoor"
"candle.png","Hacer velas","silver","Comprar un kit de velas con aceites esenciales y hacer velitas con mucha paciencia. O probar un taller en La Velatería Madrid.","Casa o reservar en La Velatería, kit de velas.","indoor"
"bici.png","Montar en bici","bronze","Reírse de Julia un rato mientras aprende a montar en bici por Madrid Río.","Bicis de alguien o que te funcione BiciMad.","outdoor"
"skate.png","Ir a patinar","bronze","Coger los patines e irnos a Madrid Río o al Retiro. O probar en el Skatepark de Tetuán si nos sentimos pro.","Patines.","outdoor"
"jazz.png","Sitio de jazz","silver","Irnos a un sitio de jazz a tomarnos algo como unos ricachones. Probar en Café Central o en El Junco.","Ropa arreglada y reservar entradas.","indoor"
"book.png","Sitio de poesía","bronze","Asistir a una lectura de poesía en un café literario o biblioteca. La Fugitiva o Desperate Literature pueden ser buenas opciones.","Espacios acogedores con buena iluminación.","indoor"
"bus.png","Explorar en bus o tren","silver","Tomar un bus o tren sin rumbo fijo y descubrir nuevos lugares. Cercanías hasta El Escorial o Chinchón pueden ser buenas ideas.","Ideal para aventureros espontáneos.","outdoor"
"swim.png","Gimnasio y natación","bronze","Pasar un rato riéndote de Julia mientras enseñas a nadar con un gorrito bien atractivo. Mirar opciones como Go Fit o Forus.","Bañador y gorro.","indoor"
"museum.png","Ir a un museo","bronze","Visitar un museo en Madrid cuando sea gratis. El Prado es gratuito de 18h a 20h (de lunes a sábado) y el Reina Sofía de 19h a 21h. Coger papel y lápiz y hacer competición de imitar en 2 min los cuadros.","Museo del Prado, Reina Sofía o Museo Sorolla. Papel y lápiz.","indoor"
"bowling.png","Bolos y cervezas","silver","Ir a una bolera a hacer el ridículo, pero con una cerveza en la otra mano. Mirar opciones como Bowling Chamartín o CityPlay.","Zapatillas cómodas y ganas de reírse.","indoor"
"cinema.png","Cine sorpresa","silver","Ir al cine y comprar entradas para la primera peli que tenga asientos libres, sin mirar el título. Ideal probar en Cines Renoir o Golem.","Palomitas, bebida y espíritu aventurero.","indoor"
"kayak.png","Kayak en el Pantano de San Juan","silver","Alquilar un kayak en Yucalcari y remar hasta encontrar una playita secreta. Llevar bocata y bañarse en el agua fresquita.","Crema solar, ropa de baño y algo de picoteo.","outdoor"
